bill,body,committee,proceeding,sched_date,sched_time,venue,tier,bills_in_slot,match,video_id,video_title,stream_start,predicted_offset,watch_url,candidates,observed_start,observed_end,notes
HB1583,H,Education,subcommittee work session,2024-01-19,10:00,LOB 209,C-shared-slot,3,single video,dN_fFFUFjWc,House Education (01/19/2024),09:59:17,0:00:43,https://www.youtube.com/watch?v=dN_fFFUFjWc&t=0s,,,,
HB1586,H,Education,subcommittee work session,2024-01-19,10:00,LOB 209,C-shared-slot,3,single video,dN_fFFUFjWc,House Education (01/19/2024),09:59:17,0:00:43,https://www.youtube.com/watch?v=dN_fFFUFjWc&t=0s,,,,
HB1656,H,Education,subcommittee work session,2024-01-19,10:00,LOB 209,C-shared-slot,3,single video,dN_fFFUFjWc,House Education (01/19/2024),09:59:17,0:00:43,https://www.youtube.com/watch?v=dN_fFFUFjWc&t=0s,,,,
HB1217,H,Criminal Justice and Public Safety,public hearing,2024-01-19,10:30,LOB 202-204,A-unique-slot,1,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,1:00:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=3349s,,,,
HCR9,H,State-Federal Relations and Veterans Affairs,public hearing,2024-01-19,10:45,LOB 206-208,A-unique-slot,1,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,1:46:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=6088s,,,,
HB1260,H,Criminal Justice and Public Safety,public hearing,2024-01-19,11:00,LOB 202-204,A-unique-slot,1,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,1:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=5149s,,,,
HB1319,H,Criminal Justice and Public Safety,public hearing,2024-01-19,11:30,LOB 202-204,A-unique-slot,1,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,2:00:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=6949s,,,,
HB1587,H,Criminal Justice and Public Safety,public hearing,2024-01-19,12:00,LOB 202-204,A-unique-slot,1,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,2:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=8749s,,,,
HCR11,H,State-Federal Relations and Veterans Affairs,public hearing,2024-01-19,13:00,LOB 206-208,A-unique-slot,1,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,4:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=14188s,,,,
CACR13,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
CACR20,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HB1022,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1035,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1041,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HB1064,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1073,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1130,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HB1179,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HB1237,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1238,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1338,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HB1355,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HB1366,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1404,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1438,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1455,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1535,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1599,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HB1619,H,Criminal Justice and Public Safety,executive session,2024-01-19,14:00,LOB 202-204,C-shared-slot,13,single video,wFwqov0bS8I,House Criminal Justice and Public Safety (01/19/2024),09:29:11,4:30:49,https://www.youtube.com/watch?v=wFwqov0bS8I&t=15949s,,,,
HCR10,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
HR20,H,State-Federal Relations and Veterans Affairs,executive session,2024-01-19,14:00,LOB 206-208,C-shared-slot,11,single video,eBXinbJGLcQ,House State-Federal Relations and Veterans Affairs (01/19/2024),08:58:32,5:01:28,https://www.youtube.com/watch?v=eBXinbJGLcQ&t=17788s,,,,
