video_id,title,title_parsed,parsed_committee,parsed_date,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
BmemDWV61dk,Senate Finance (03/18/2025),yes,Finance,2025-03-18,yes,2025-03-18 13:28:46,2025-03-18T17:28:46Z,2025-03-18T19:46:12Z,PT2H17M24S,2025-03-19T08:01:30Z
QsOQ3cZZiqc,Senate Ways and Means (03/19/2025),yes,Ways and Means,2025-03-19,yes,2025-03-19 09:27:56,2025-03-19T13:27:56Z,2025-03-19T14:00:21Z,PT32M25S,2025-03-20T02:07:54Z
cupB3HHffao,Senate Health and Human Services (03/19/2025),yes,Health and Human Services,2025-03-19,yes,2025-03-19 08:58:51,2025-03-19T12:58:51Z,2025-03-19T14:28:19Z,PT1H29M41S,2025-03-20T02:34:55Z
YRIQ2YFtCrk,Senate Executive Departments and Administration (03/19/2025),yes,Executive Departments and Administration,2025-03-19,yes,2025-03-19 08:58:51,2025-03-19T12:58:51Z,2025-03-19T15:50:35Z,PT2H51M51S,2025-03-20T04:08:50Z
XNOKd1PUE0c,Senate Session (03/20/2025),yes,Session,2025-03-20,yes,2025-03-20 09:58:51,2025-03-20T13:58:51Z,2025-03-20T16:42:57Z,PT2H44M21S,2025-03-21T05:06:58Z
ai_V4zJMKWY,Senate Energy and Natural Resources (03/25/2025),yes,Energy and Natural Resources,2025-03-25,yes,2025-03-25 08:58:36,2025-03-25T12:58:36Z,2025-03-25T14:18:06Z,PT1H19M40S,2025-03-26T02:23:25Z
TaXZ6RssUl0,Senate Election Law and Municipal Affairs (03/25/2025),yes,Election Law and Municipal Affairs,2025-03-25,yes,2025-03-25 09:13:57,2025-03-25T13:13:57Z,2025-03-25T14:29:34Z,PT1H15M51S,2025-03-26T02:39:39Z
rPk2KohSS1U,Senate Education (03/25/2025),yes,Education,2025-03-25,yes,2025-03-25 08:57:16,2025-03-25T12:57:16Z,2025-03-25T14:40:13Z,PT1H43M11S,2025-03-26T02:54:29Z
GFCSDl2MVMs,Senate Commerce (03/25/2025),yes,Commerce,2025-03-25,yes,2025-03-25 09:28:51,2025-03-25T13:28:51Z,2025-03-25T15:55:07Z,PT2H26M31S,2025-03-26T04:07:07Z
r82r4grpVq8,Senate Transportation (03/25/2025),yes,Transportation,2025-03-25,yes,2025-03-25 12:58:37,2025-03-25T16:58:37Z,2025-03-25T18:59:06Z,PT2H45S,2025-03-26T07:08:35Z
