video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
xNUZ5GpWSl0,Senate Energy and Natural Resources (01/20/2026),yes,Energy and Natural Resources,2026-01-20,title,yes,2026-01-20 08:58:47,2026-01-20T13:58:47Z,2026-01-20T14:47:46Z,PT49M16S,2026-01-21T03:01:37Z
jCo0xIheAcw,Senate Education (01/20/2026),yes,Education,2026-01-20,title,yes,2026-01-20 09:13:47,2026-01-20T14:13:47Z,2026-01-20T16:23:20Z,PT2H9M26S,2026-01-21T05:04:30Z
ERVDrv6Jzjo,Senate Election Law and Municipal Affairs (01/20/2026),yes,Election Law and Municipal Affairs,2026-01-20,title,yes,2026-01-20 08:58:51,2026-01-20T13:58:51Z,2026-01-20T16:21:42Z,PT2H22M57S,2026-01-21T05:11:17Z
WZSL9TZ_9BM,Senate Commerce (01/20/2026),yes,Commerce,2026-01-20,title,yes,2026-01-20 09:28:46,2026-01-20T14:28:46Z,2026-01-20T16:57:00Z,PT2H28M26S,2026-01-21T05:12:08Z
hC-P9zcBhCY,Senate Finance (01/20/2026),yes,Finance,2026-01-20,title,yes,2026-01-20 12:58:57,2026-01-20T17:58:57Z,2026-01-20T19:56:36Z,PT1H57M56S,2026-01-21T09:10:02Z
AxYLQPFacrg,Senate Transportation (01/20/2026),yes,Transportation,2026-01-20,title,yes,2026-01-20 12:58:52,2026-01-20T17:58:52Z,2026-01-20T21:00:06Z,PT3H1M31S,2026-01-21T09:38:26Z
aJKX0uY1OtQ,Senate Judiciary (01/20/2026),yes,Judiciary,2026-01-20,title,yes,2026-01-20 12:58:51,2026-01-20T17:58:51Z,2026-01-20T21:06:14Z,PT3H7M20S,2026-01-21T10:23:40Z
4Lwocl2hsFM,Senate Executive Departments and Administration (01/21/2026),yes,Executive Departments and Administration,2026-01-21,title,yes,2026-01-21 08:59:27,2026-01-21T13:59:27Z,2026-01-21T20:06:41Z,PT6H7M10S,2026-01-21T20:32:32Z
5shDhTjyqHU,Senate Health and Human Services (01/21/2026),yes,Health and Human Services,2026-01-21,title,yes,2026-01-21 08:59:17,2026-01-21T13:59:17Z,2026-01-21T20:45:50Z,PT6H46M18S,2026-01-21T21:06:58Z
6XxvUroSJXQ,Senate Ways and Means (01/21/2026),yes,Ways and Means,2026-01-21,title,yes,2026-01-21 08:59:21,2026-01-21T13:59:21Z,2026-01-21T16:17:48Z,PT2H18M26S,2026-01-22T05:28:38Z
O2_MJ51mio0,Senate Capital Budget (01/21/2026),yes,Capital Budget,2026-01-21,title,yes,2026-01-21 12:58:31,2026-01-21T17:58:31Z,2026-01-21T18:18:00Z,PT19M31S,2026-01-22T06:21:45Z
dBiCz2Hty_k,Senate Education Finance (01/22/2026),yes,Education Finance,2026-01-22,title,yes,2026-01-22 09:55:47,2026-01-22T14:55:47Z,2026-01-22T17:55:13Z,PT2H59M24S,2026-01-23T06:06:43Z
nlYvpER7lns,Senate Judiciary (01/22/2026),yes,Judiciary,2026-01-22,title,yes,2026-01-22 12:56:36,2026-01-22T17:56:36Z,2026-01-22T19:32:50Z,PT1H36M21S,2026-01-23T07:40:20Z
e8uBXehTzCM,Senate Education (01/27/2026),yes,Education,2026-01-27,title,yes,2026-01-27 09:13:46,2026-01-27T14:13:46Z,2026-01-27T15:35:49Z,PT1H22M9S,2026-01-28T03:41:21Z
m4iLTP5WqiM,Senate Election Law and Municipal Affairs (01/27/2026),yes,Election Law and Municipal Affairs,2026-01-27,title,yes,2026-01-27 08:58:46,2026-01-27T13:58:46Z,2026-01-27T15:42:26Z,PT1H43M55S,2026-01-28T03:51:47Z
sIrXkr7gx2E,Senate Energy and Natural Resources (01/27/2026),yes,Energy and Natural Resources,2026-01-27,title,yes,2026-01-27 08:58:46,2026-01-27T13:58:46Z,2026-01-27T17:02:02Z,PT3H3M31S,2026-01-28T05:13:17Z
UFDqas3C7A8,Senate Commerce (01/27/2026),yes,Commerce,2026-01-27,title,yes,2026-01-27 09:28:46,2026-01-27T14:28:46Z,2026-01-27T17:39:32Z,PT3H11M1S,2026-01-28T06:35:44Z
VymrQr5dUew,Senate Transportation (01/27/2026),yes,Transportation,2026-01-27,title,yes,2026-01-27 12:59:11,2026-01-27T17:59:11Z,2026-01-27T18:32:07Z,PT33M11S,2026-01-28T06:37:29Z
LPVuwx3_XF4,Senate Finance (01/27/2026),yes,Finance,2026-01-27,title,yes,2026-01-27 13:13:57,2026-01-27T18:13:57Z,2026-01-27T19:10:11Z,PT56M36S,2026-01-28T07:30:50Z
i75xssnTafA,Senate Judiciary (01/27/2026),yes,Judiciary,2026-01-27,title,yes,2026-01-27 12:59:16,2026-01-27T17:59:16Z,2026-01-27T21:05:12Z,PT3H6M1S,2026-01-28T09:28:18Z
FojHndyaHak,Senate Executive Departments and Administration (01/28/2026),yes,Executive Departments and Administration,2026-01-28,title,yes,2026-01-28 08:59:02,2026-01-28T13:59:02Z,2026-01-28T15:22:26Z,PT1H23M36S,2026-01-29T03:53:36Z
90Fv0ljZL5M,Senate Education Finance (01/28/2026),yes,Education Finance,2026-01-28,title,yes,2026-01-28 11:28:01,2026-01-28T16:28:01Z,2026-01-28T17:04:28Z,PT36M26S,2026-01-29T05:21:14Z
c8FwUHNEZp8,Senate Health and Human Services (01/28/2026),yes,Health and Human Services,2026-01-28,title,yes,2026-01-28 08:58:56,2026-01-28T13:58:56Z,2026-01-28T17:00:20Z,PT3H1M21S,2026-01-29T06:16:15Z
tbCcSkMHdzw,Senate Session (01/29/2026),yes,Session,2026-01-29,title,yes,2026-01-29 09:58:46,2026-01-29T14:58:46Z,2026-01-29T18:44:45Z,PT3H46M16S,2026-01-30T08:05:33Z
0XP250Af11E,Senate Election Law and Municipal Affairs (02/03/2026),yes,Election Law and Municipal Affairs,2026-02-03,title,yes,2026-02-03 08:58:46,2026-02-03T13:58:46Z,2026-02-03T15:01:02Z,PT1H2M31S,2026-02-04T03:15:57Z
U-NhS7jhmqE,Senate Commerce (02/03/2026),yes,Commerce,2026-02-03,title,yes,2026-02-03 09:28:36,2026-02-03T14:28:36Z,2026-02-03T16:28:35Z,PT2H11S,2026-02-04T04:43:39Z
xAoW4EkiP-0,Senate Education (02/03/2026),yes,Education,2026-02-03,title,yes,2026-02-03 09:13:37,2026-02-03T14:13:37Z,2026-02-03T16:17:52Z,PT2H4M26S,2026-02-04T04:52:23Z
cBUPK_EkiC0,Senate Energy and Natural Resources (02/03/2026),yes,Energy and Natural Resources,2026-02-03,title,yes,2026-02-03 08:58:41,2026-02-03T13:58:41Z,2026-02-03T17:01:52Z,PT3H3M26S,2026-02-04T05:28:19Z
rnZQ363ufk4,Senate Finance (02/03/2026),yes,Finance,2026-02-03,title,yes,2026-02-03 13:13:37,2026-02-03T18:13:37Z,2026-02-03T20:16:23Z,PT2H2M56S,2026-02-04T08:32:48Z
TdZx-i3j600,Senate Judiciary (02/03/2026),yes,Judiciary,2026-02-03,title,yes,2026-02-03 12:58:47,2026-02-03T17:58:47Z,2026-02-03T21:19:54Z,PT3H21M21S,2026-02-04T09:52:44Z
OSch4JLAMUo,Senate Ways and Means (02/04/2026),yes,Ways and Means,2026-02-04,title,yes,2026-02-04 09:30:34,2026-02-04T14:30:34Z,2026-02-04T16:16:59Z,PT1H46M20S,2026-02-05T04:33:44Z
gKYt2TJc0NE,Senate Health and Human Services (02/04/2026),yes,Health and Human Services,2026-02-04,title,yes,2026-02-04 08:59:42,2026-02-04T13:59:42Z,2026-02-04T17:39:29Z,PT3H39M46S,2026-02-05T06:08:17Z
